csvData,Tipo,Horario,Premio_1,Centena_1,Grupo_1,Bicho_1,Premio_2,Centena_2,Grupo_2,Bicho_2,Premio_3,Centena_3,Grupo_3,Bicho_3,Premio_4,Centena_4,Grupo_4,Bicho_4,Premio_5,Centena_5,Grupo_5,Bicho_5
2024-01-16,PTN,,9195,195,24,Veado,7365,365,17,Macaco,7793,793,24,Veado,5012,012,03,Burro,7239,239,10,Coelho
2024-01-16,COR,21:30,9233,233,09,Cobra,9074,074,19,Pavão,3459,459,15,Jacaré,6787,787,22,Tigre,6457,457,15,Jacaré
2024-01-17,PPT,09:30,7574,574,19,Pavão,8916,916,04,Borboleta,6345,345,12,Elefante,0563,563,16,Leão,0026,026,07,Carneiro
2024-01-17,PTM,11:30,3375,375,19,Pavão,8767,767,17,Macaco,5614,614,04,Borboleta,4782,782,21,Touro,5900,900,25,Vaca
2024-01-17,PT,14:30,5032,032,08,Camelo,6799,799,25,Vaca,4540,540,10,Coelho,5126,126,07,Carneiro,2430,430,08,Camelo
2024-01-17,PTV,16:30,9770,770,18,Porco,5691,691,23,Urso,4918,918,05,Cachorro,7568,568,17,Macaco,4866,866,17,Macaco
2024-01-17,FED,,0541,541,11,Cavalo,3795,795,24,Veado,9078,078,20,Peru,2550,550,13,Galo,7258,258,15,Jacaré
2024-01-17,COR,21:30,3045,045,12,Elefante,4246,246,12,Elefante,9564,564,16,Leão,4219,219,05,Cachorro,5505,505,02,Águia
2024-01-18,PPT,09:30,0965,965,17,Macaco,2274,274,19,Pavão,7841,841,11,Cavalo,2160,160,15,Jacaré,1852,852,13,Galo
2024-01-18,PTM,11:30,9086,086,22,Tigre,4693,693,24,Veado,1854,854,14,Gato,9947,947,12,Elefante,5050,050,13,Galo
2024-01-18,PT,14:30,7303,303,01,Avestruz,5574,574,19,Pavão,9968,968,17,Macaco,3545,545,12,Elefante,2935,935,09,Cobra
2024-01-18,PTV,16:30,0555,555,14,Gato,2127,127,07,Carneiro,1991,991,23,Urso,5262,262,16,Leão,2818,818,05,Cachorro
2024-01-18,PTN,,5975,975,19,Pavão,7495,495,24,Veado,7698,698,25,Vaca,3388,388,22,Tigre,7484,484,21,Touro
2024-01-18,COR,21:30,2558,558,15,Jacaré,1116,116,04,Borboleta,2209,209,03,Burro,4617,617,05,Cachorro,8055,055,14,Gato
2024-01-19,PPT,09:30,5001,001,01,Avestruz,4676,676,19,Pavão,4343,343,11,Cavalo,5494,494,24,Veado,9926,926,07,Carneiro
2024-01-19,PTM,11:30,6564,564,16,Leão,9918,918,05,Cachorro,6127,127,07,Carneiro,5958,958,15,Jacaré,8850,850,13,Galo
2024-01-19,PT,14:30,6108,108,02,Águia,2645,645,12,Elefante,3293,293,24,Veado,0350,350,13,Galo,2794,794,24,Veado
2024-01-19,PTV,16:30,8116,116,04,Borboleta,4072,072,18,Porco,0785,785,22,Tigre,0900,900,25,Vaca,0234,234,09,Cobra
2024-01-19,PTN,,2227,227,07,Carneiro,0828,828,07,Carneiro,8462,462,16,Leão,2455,455,14,Gato,6596,596,24,Veado
2024-01-19,COR,21:30,3480,480,20,Peru,5241,241,11,Cavalo,0264,264,16,Leão,1726,726,07,Carneiro,8274,274,19,Pavão
2024-01-20,PPT,09:30,4222,222,06,Cabra,7604,604,01,Avestruz,4336,336,09,Cobra,1715,715,04,Borboleta,0408,408,02,Águia
